latitude,longitude,hashtags
40.7128,-74.0060,#citylife #urban #newyork
34.0522,-118.2437,#sunny #beach #california
51.5074,-0.1278,#london #uk #travel
48.8566,2.3522,#paris #france #europe
35.6895,139.6917,#tokyo #japan #asia
-33.8688,151.2093,#sydney #australia #downunder
37.7749,-122.4194,#sanfrancisco #bayarea #tech
55.7558,37.6176,#moscow #russia #kremlin
40.4168,-3.7038,#madrid #spain #españa
-22.9068,-43.1729,#riodejaneiro #brazil #carnival
51.1657,10.4515,#germany #europe #berlin
-37.8136,144.9631,#melbourne #australia #coffee
55.7558,37.6176,#russia #moscow #kremlin
33.6844,73.0479,#pakistan #islamabad #beautiful
40.7128,-74.0060,#newyork #usa #bigapple
-6.2088,106.8456,#jakarta #indonesia #travel
48.8566,2.3522,#france #paris #eiffeltower
-33.8688,151.2093,#australia #sydney #operahouse
-23.5505,-46.6333,#saopaulo #brazil #urban
41.9028,12.4964,#italy #rome #colosseum
37.7749,-122.4194,#sanfrancisco #tech #siliconvalley
28.6139,77.2090,#india #delhi #history
-25.3444,131.0369,#australia #outback #desert
59.3293,18.0686,#sweden #stockholm #scandinavia
-33.8688,151.2093,#sydney #australia #harbourbridge
40.7128,-74.0060,#citylife #urban #newyork
34.0522,-118.2437,#sunny #beach #california
51.5074,-0.1278,#london #uk #travel
48.8566,2.3522,#paris #france #europe
35.6895,139.6917,#tokyo #japan #asia
-33.8688,151.2093,#sydney #australia #downunder
37.7749,-122.4194,#sanfrancisco #bayarea #tech
55.7558,37.6176,#moscow #russia #kremlin
40.4168,-3.7038,#madrid #spain #españa
-22.9068,-43.1729,#riodejaneiro #brazil #carnival
51.1657,10.4515,#germany #europe #berlin
-37.8136,144.9631,#melbourne #australia #coffee
55.7558,37.6176,#russia #moscow #kremlin
33.6844,73.0479,#pakistan #islamabad #beautiful
40.7128,-74.0060,#newyork #usa #bigapple
-6.2088,106.8456,#jakarta #indonesia #travel
48.8566,2.3522,#france #paris #eiffeltower
-33.8688,151.2093,#australia #sydney #operahouse
-23.5505,-46.6333,#saopaulo #brazil #urban
41.9028,12.4964,#italy #rome #colosseum
37.7749,-122.4194,#sanfrancisco #tech #siliconvalley
28.6139,77.2090,#india #delhi #history
-25.3444,131.0369,#australia #outback #desert
59.3293,18.0686,#sweden #stockholm #scandinavia
-33.8688,151.2093,#sydney #australia #harbourbridge
40.7128,-74.0060,#citylife #urban #newyork
34.0522,-118.2437,#sunny #beach #california
51.5074,-0.1278,#london #uk #travel
48.8566,2.3522,#paris #france #europe
35.6895,139.6917,#tokyo #japan #asia
-33.8688,151.2093,#sydney #australia #downunder
37.7749,-122.4194,#sanfrancisco #bayarea #tech
55.7558,37.6176,#moscow #russia #kremlin
40.4168,-3.7038,#madrid #spain #españa
-22.9068,-43.1729,#riodejaneiro #brazil #carnival
51.1657,10.4515,#germany #europe #berlin
-37.8136,144.9631,#melbourne #australia #coffee
55.7558,37.6176,#russia #moscow #kremlin
33.6844,73.0479,#pakistan #islamabad #beautiful
40.7128,-74.0060,#newyork #usa #bigapple
-6.2088,106.8456,#jakarta #indonesia #travel
48.8566,2.3522,#france #paris #eiffeltower
-33.8688,151.2093,#australia #sydney #operahouse
-23.5505,-46.6333,#saopaulo #brazil #urban
41.9028,12.4964,#italy #rome #colosseum
37.7749,-122.4194,#sanfrancisco #tech #siliconvalley
28.6139,77.2090,#india #delhi #history
-25.3444,131.0369,#australia #outback #desert
59.3293,18.0686,#sweden #stockholm #scandinavia
-33.8688,151.2093,#sydney #australia #harbourbridge
